feature,importance
wl_lag_1,0.6682179899416056
precip_lag_1,0.07184878630071993
precip_lag_0,0.05151401342794738
precip_sum_3d,0.04180681648887588
precip_lag_2,0.01853589653811837
cos_doy,0.00832035772511207
wl_mean_previous_3d,0.007893407966059583
precip_lag_13,0.007293140746755513
wl_lag_3,0.006848807760788303
precip_lag_11,0.006359431361856937
precip_lag_6,0.006083031224183797
precip_sum_14d,0.005946784318082192
wl_mean_previous_14d,0.005911052735292184
wl_change_1d,0.005721620503797775
precip_lag_3,0.005670342378028165
precip_lag_9,0.00564041601269562
wl_lag_4,0.005386995431027128
precip_lag_4,0.005326614355965146
sin_doy,0.005311992583471283
precip_lag_5,0.005120979964715605
precip_lag_12,0.005102045941364696
wl_mean_previous_7d,0.004943716378775571
precip_sum_7d,0.004779168992545673
precip_lag_7,0.004746621288098279
wl_lag_5,0.004659771473410437
precip_lag_14,0.004618344341646279
precip_sum_30d,0.0045591115017631755
precip_lag_10,0.0044420648632580665
wl_lag_7,0.0037915210252043225
precip_lag_8,0.0037174450823080616
wl_lag_2,0.0034724322022638347
month,0.0033176446609618107
wl_lag_6,0.0030916344833011437
